Nunavut, province d'origine (6);Nouvelle-Écosse, province de destination (3);v32211731;14.3;8;22;23;18
Nunavut, province d'origine (6);Nouveau-Brunswick, province de destination (3);v32211732;14.4;0;8;8;0
Nunavut, province d'origine (6);Québec, province de destination (3);v32211733;14.5;0;0;32;21
Nunavut, province d'origine (6);Ontario, province de destination (3);v32211734;14.6;197;120;36;41
Nunavut, province d'origine (6);Manitoba, province de destination (3);v32211735;14.7;33;62;0;14
Nunavut, province d'origine (6);Saskatchewan, province de destination (3);v32211736;14.8;24;21;0;0
Nunavut, province d'origine (6);Alberta, province de destination (3);v32211737;14.9;193;0;10;10
Nunavut, province d'origine (6);Colombie-Britannique, province de destination (3);v32211738;14.10;29;0;27;0
Nunavut, province d'origine (6);Yukon, province de destination (3);v32211739;14.11;0;9;0;0
Nunavut, province d'origine (6);Territoires du Nord-Ouest, province de destination (6);v32211740;14.13;35;26;0;12
